"año","estacion","date","O3","PM10","PM2.5","NO","NO2","NOX","CO","SO2","TOUT","RH","WSR","WDR","PRS","RAINF","SR"
2024,"NTE2",2023-12-31 18:00:00,20,357,347,69,54.2,123.3,5.76,8.4,16.04,52,4.8,230,715,0,0
2024,"NTE2",2023-12-31 19:00:00,21,347,NA,66.4,54.1,120.5,5.83,8.9,16.04,52,5,225,715,0,0
2024,"NTE2",2023-12-31 20:00:00,17,705,418,61.6,48.8,110.5,4.88,7.8,15.21,54,3.3,258,715.1,0,0
2024,"NTE2",2023-12-31 21:00:00,15,520,359,51.6,46.5,98,4.72,6.8,15.2,54,5.8,229,715.2,0,0
2024,"NTE2",2023-12-31 22:00:00,13,424,186,35,45.6,80.6,3.63,6,15.54,51,6.7,219,715.3,0,0
2024,"NTE2",2023-12-31 23:00:00,14,272,153,40,42.9,82.8,3.44,5.8,15.55,49,6.7,239,715.1,0,0
2024,"NTE2",2024-01-01,12,238,104,12.2,37.9,50,2.59,5.7,16.14,42,10.3,231,715.3,0,0
2024,"NTE2",2024-01-01 01:00:00,13,115,53,32.2,35.7,67.9,2.2,4.9,14.94,46,4.2,283,715.9,0,0
2024,"NTE2",2024-01-01 02:00:00,13,116,70,59.3,35.7,95,2.9,4.7,13.97,51,4.2,228,716.5,0,0.005
2024,"NTE2",2024-01-01 03:00:00,13,130,42,52.3,35.9,88.1,2.32,4.8,15.18,46,4.8,238,717.3,0,0.048
2024,"NTE2",2024-01-01 04:00:00,14,92,26,45.2,37.5,82.6,1.94,5.3,17.95,39,4.9,286,717.9,0,0.116
2024,"NTE2",2024-01-01 05:00:00,21,71,38,16.1,28.5,44.6,1.83,5,19.03,37,5.2,15,718.5,0,0.182
2024,"NTE2",2024-01-01 06:00:00,34,81,30,8.9,15.3,24.2,1.44,5.5,21.41,31,7.3,26,718.5,0,0.24
2024,"NTE2",2024-01-01 07:00:00,41,35,19,8.4,14,22.4,1.25,5.7,22.49,33,8.4,16,717.9,0,0.283
2024,"NTE2",2024-01-01 08:00:00,39,35,24,9.5,13.2,22.6,1.26,5.4,22.49,38,9.4,27,717.2,0,0.222
2024,"NTE2",2024-01-01 09:00:00,41,31,7,9.3,13.3,22.5,1.25,5.1,23.57,39,7.8,38,716.6,0,0.268
2024,"NTE2",2024-01-01 10:00:00,38,21,NA,9.6,14.1,23.7,1.26,4.7,23.1,42,9.1,33,716.5,0,0.167
2024,"NTE2",2024-01-01 11:00:00,31,23,14,13.6,20,33.5,1.35,4.9,21.84,48,10.1,13,716.7,0,0.068
2024,"NTE2",2024-01-01 12:00:00,27,39,9,15.5,22.6,38.1,1.46,4.4,20.33,54,11,21,716.9,0,0.016
2024,"NTE2",2024-01-01 13:00:00,26,43,12,12.4,21,33.4,1.42,3.7,18.58,59,11,31,717.4,0,0
2024,"NTE2",2024-01-01 14:00:00,20,37,6,7.4,25.1,32.5,1.42,3.4,17.39,62,8.3,57,717.6,0,0
2024,"NTE2",2024-01-01 15:00:00,25,40,6,9,21.9,30.9,1.42,3.8,18.05,65,9.5,72,717.7,0,0
2024,"NTE2",2024-01-01 16:00:00,31,32,4,5.4,18.8,24.2,1.26,3.4,18.07,64,10.8,80,717.6,0,0
2024,"NTE2",2024-01-01 17:00:00,31,28,4,5.3,19,24.2,1.33,4.6,17.54,63,10,74,717.4,0,0
2024,"NTE2",2024-01-01 18:00:00,33,28,12,3.9,16.1,20,1.28,6.8,16.55,68,9,83,716.9,0,0
2024,"NTE2",2024-01-01 19:00:00,30,29,14,3.8,13.2,17,1.3,5.2,16.08,75,9.4,61,716.9,0,0
2024,"NTE2",2024-01-01 20:00:00,25,35,17,3.5,12.2,15.7,1.3,3.4,15.33,82,7.3,81,717.1,0,0
2024,"NTE2",2024-01-01 21:00:00,22,28,16,3.7,11.8,15.3,1.24,3.3,14.55,85,6.3,61,716.8,0,0
2024,"NTE2",2024-01-01 22:00:00,21,24,9,4.5,11.7,16.1,1.24,3.1,14.52,86,7.1,37,716.3,0,0
2024,"NTE2",2024-01-01 23:00:00,18,34,14,7.6,14.7,22.3,1.23,3,14.12,86,8.3,18,716,0,0
2024,"NTE2",2024-01-02,12,44,25,25.5,20.7,46.2,1.33,3,14.01,87,7.5,32,715.6,0,0
2024,"NTE2",2024-01-02 01:00:00,12,32,16,44.5,22.7,67.2,1.52,3.1,13.98,88,7.7,11,715.8,0.01,0
2024,"NTE2",2024-01-02 02:00:00,11,31,14,54.5,22.3,76.8,1.77,3.2,14.11,88,7.8,4,716.1,0,0
2024,"NTE2",2024-01-02 03:00:00,11,26,14,68.3,23,91.3,1.91,3.2,14.12,89,8.3,18,715.9,0,0.006
2024,"NTE2",2024-01-02 04:00:00,11,20,18,82.4,22.9,105.3,1.99,3.2,14.2,89,7.3,12,715.9,0,0.014
2024,"NTE2",2024-01-02 05:00:00,11,31,15,79.6,21.6,101.2,2.06,3.2,14.47,89,7.9,14,715.8,0,0.022
2024,"NTE2",2024-01-02 06:00:00,11,33,13,96.4,23.1,119.5,2.18,3.3,14.69,89,6.2,24,715.4,0.01,0.03
2024,"NTE2",2024-01-02 07:00:00,12,65,25,71.5,21.8,93.3,2.14,3.3,15.12,88,5.6,31,714.4,0,0.067
2024,"NTE2",2024-01-02 08:00:00,12,121,27,66.6,23.8,90.4,1.93,3.6,15.61,86,8.7,19,713.7,0,0.039
2024,"NTE2",2024-01-02 09:00:00,15,107,42,27.1,20.2,47.3,1.72,3.8,16.04,84,5.7,61,712.7,0,0.105
2024,"NTE2",2024-01-02 10:00:00,16,64,33,42.1,27,69.1,1.68,4.1,17.19,79,6.3,38,712.3,0,0.094
2024,"NTE2",2024-01-02 11:00:00,15,82,44,43.4,31.1,74.5,1.88,3.8,17.26,75,6,32,712.4,0,0.045
2024,"NTE2",2024-01-02 12:00:00,14,86,42,61.4,37.5,98.9,2.11,3.7,17.04,75,6.5,11,712.7,0,0.006
2024,"NTE2",2024-01-02 13:00:00,13,94,33,52.2,37.3,89.4,2.25,3.5,17.04,74,4.7,12,713,0,0
2024,"NTE2",2024-01-02 14:00:00,12,88,33,25.3,35.8,61.1,1.92,3.2,16.76,74,3.5,34,713.3,0,0
2024,"NTE2",2024-01-02 15:00:00,11,73,28,74,28,102,2.03,3.3,15.79,78,4.2,19,713.6,0,0
2024,"NTE2",2024-01-02 16:00:00,11,105,15,93.5,22.4,115.9,2.13,3.3,14.68,81,5.7,23,714,0,0
2024,"NTE2",2024-01-02 17:00:00,11,125,15,74.5,20,94.6,1.97,3.3,13.65,83,6.5,20,714.3,0,0
2024,"NTE2",2024-01-02 18:00:00,11,99,14,51.8,20.6,72.4,1.69,3,12.87,84,5.7,16,714.5,0,0
2024,"NTE2",2024-01-02 19:00:00,11,71,8,31.9,20.5,52.4,1.45,2.9,12.48,84,4.7,18,714.5,0,0
2024,"NTE2",2024-01-02 20:00:00,NA,42,11,48.3,19.5,67.8,1.4,2.9,11.58,85,7,30,714.6,0,0
2024,"NTE2",2024-01-02 21:00:00,14,61,11,14.8,15.8,30.6,1.25,2.7,11.44,87,9.1,15,714.9,0,0
2024,"NTE2",2024-01-02 22:00:00,15,34,12,12.7,13.5,26.1,1.17,2.7,11.76,87,5.9,31,715.3,0,0
2024,"NTE2",2024-01-02 23:00:00,14,28,8,14.1,14.2,28.2,1.25,2.7,11.46,86,6.8,21,715.6,0,0
2024,"NTE2",2024-01-03,12,22,NA,38.5,19.9,58.4,1.29,2.8,11.36,86,7.8,8,715.9,0,0
2024,"NTE2",2024-01-03 01:00:00,13,39,24,40.5,19.5,60,1.44,2.9,11.52,86,9.9,5,716.3,0,0
2024,"NTE2",2024-01-03 02:00:00,13,40,NA,54.4,20.8,75.2,1.7,3,11.68,85,6.2,NA,716.7,0,0.005
2024,"NTE2",2024-01-03 03:00:00,13,60,NA,36.7,21,57.7,2.11,2.9,12.26,85,4.1,194,717.2,0,0.034
2024,"NTE2",2024-01-03 04:00:00,18,62,6,26.8,23.3,50.1,2.08,3,14.57,81,3.6,195,717.6,0,0.121
2024,"NTE2",2024-01-03 05:00:00,17,65,25,67.6,33.8,101.4,2.75,3.4,16.46,68,6.9,9,717.6,0,0.189
2024,"NTE2",2024-01-03 06:00:00,23,118,32,43.6,31,74.5,2.46,3.4,17.51,62,7.6,8,717.2,0,0.281
2024,"NTE2",2024-01-03 07:00:00,29,96,20,26.9,24.1,51,1.72,3.2,18.53,55,8.7,23,716.3,0,0.355
2024,"NTE2",2024-01-03 08:00:00,37,61,9,20.6,22.7,43.3,1.47,3.1,20.07,46,7.5,17,715.2,0,0.358
2024,"NTE2",2024-01-03 09:00:00,42,50,10,14.9,18.5,33.4,1.35,3.1,20.6,41,8.4,39,714.5,0,0.324
2024,"NTE2",2024-01-03 10:00:00,46,32,10,9.3,17.8,27.1,1.29,3.2,21.17,39,8,45,714.4,0,0.25
2024,"NTE2",2024-01-03 11:00:00,40,33,12,12.4,25.3,37.6,1.37,3.3,20.93,40,8,57,714.5,0,0.14
2024,"NTE2",2024-01-03 12:00:00,37,46,21,5.4,28.7,34.2,1.39,7.2,18.69,50,10,96,714.9,0,0.022
2024,"NTE2",2024-01-03 13:00:00,32,55,11,4.6,27.3,31.9,1.35,6.5,17.11,57,10.8,99,715.5,0,0
2024,"NTE2",2024-01-03 14:00:00,33,44,3,4.6,23.1,27.6,1.35,3.4,16.19,57,11.2,96,716.1,0,0
2024,"NTE2",2024-01-03 15:00:00,29,34,NA,4.8,24.5,29.4,1.32,3.1,15.37,58,10.4,92,716.4,0,0
2024,"NTE2",2024-01-03 16:00:00,35,35,3,4.9,18.3,23.2,1.34,4.1,14.81,54,11.5,109,716.4,0,0
2024,"NTE2",2024-01-03 17:00:00,37,49,2,4,21.7,25.7,1.33,3.3,14.46,56,10,92,716.3,0,0
2024,"NTE2",2024-01-03 18:00:00,34,27,9,4.2,20.2,24.4,1.42,3.2,14.23,57,9.2,93,716,0,0
2024,"NTE2",2024-01-03 19:00:00,35,22,13,4.1,21.1,25.1,1.39,3.2,14.09,59,8.8,86,715.7,0,0
2024,"NTE2",2024-01-03 20:00:00,28,28,11,6.2,21.2,27.4,1.3,3.5,12.71,63,10.2,55,715.3,0,0
2024,"NTE2",2024-01-03 21:00:00,26,28,9,6.1,16.5,22.5,1.25,4.2,11.03,71,10.4,52,715.1,0,0
2024,"NTE2",2024-01-03 22:00:00,26,26,13,6.2,13,19.2,1.25,3.6,9.62,82,9.4,63,715,0,0
2024,"NTE2",2024-01-03 23:00:00,24,30,9,7.4,13.1,20.4,1.25,2.8,9.1,85,7.8,56,714.9,0,0
2024,"NTE2",2024-01-04,23,26,3,9.3,15,24.2,1.23,2.6,8.86,86,6.6,70,714.6,0,0
2024,"NTE2",2024-01-04 01:00:00,18,22,13,12.3,19.7,32,1.31,2.7,8.87,86,6.7,56,714.6,0,0
2024,"NTE2",2024-01-04 02:00:00,16,29,18,26.4,21.5,47.8,1.45,3,8.88,86,6.8,46,714.8,0,0.001
2024,"NTE2",2024-01-04 03:00:00,20,54,19,14.6,19.7,34.3,1.46,2.8,8.67,86,7.6,56,715,0,0.008
2024,"NTE2",2024-01-04 04:00:00,18,39,13,18,20.9,38.9,1.45,2.8,8.7,86,6.4,71,714.9,0,0.015
2024,"NTE2",2024-01-04 05:00:00,19,40,16,13.5,19,32.5,1.37,2.7,8.84,86,6.9,76,714.6,0,0.027
2024,"NTE2",2024-01-04 06:00:00,18,33,9,23.9,22,45.9,1.45,2.8,9.64,85,7,59,713.8,0,0.048
2024,"NTE2",2024-01-04 07:00:00,18,35,12,45.1,23.9,69,1.65,2.9,9.93,83,8.7,32,713,0,0.044
2024,"NTE2",2024-01-04 08:00:00,21,34,8,27.1,22.5,49.6,1.67,2.8,10.49,82,7,60,711.6,0,0.061
2024,"NTE2",2024-01-04 09:00:00,21,23,12,20.5,22.4,42.9,1.49,2.8,10.95,80,7.7,64,710.9,0,0.074
2024,"NTE2",2024-01-04 10:00:00,22,28,9,13.5,20.1,33.6,1.45,2.9,11.12,79,7.8,78,710.6,0,0.056
2024,"NTE2",2024-01-04 11:00:00,19,28,15,22.5,24.4,46.9,1.48,5.3,11.21,80,6.2,54,710.3,0,0.033
2024,"NTE2",2024-01-04 12:00:00,16,34,13,31.1,27.5,58.6,1.62,4.9,11.16,81,5.4,33,710.1,0,0.006
2024,"NTE2",2024-01-04 13:00:00,13,35,18,43.8,31.5,75.3,1.82,4.4,11.31,81,5.5,354,710,0,0
2024,"NTE2",2024-01-04 14:00:00,12,45,18,42.3,32,74.3,1.84,4.2,11.65,81,4.8,345,709.9,0,0
2024,"NTE2",2024-01-04 15:00:00,12,48,19,55.3,32.1,87.4,2.05,3.5,11.75,82,5.9,355,710,0,0
2024,"NTE2",2024-01-04 16:00:00,12,51,20,58.7,31.2,89.9,2.41,3.4,11.9,85,5.1,354,710.1,0,0
2024,"NTE2",2024-01-04 17:00:00,13,60,26,33,28.4,61.3,2.12,3.1,12.3,86,5.7,335,710.5,0,0
2024,"NTE2",2024-01-04 18:00:00,13,36,11,27.7,28.7,56.3,1.73,3,12.52,86,6.1,317,710.9,0,0
2024,"NTE2",2024-01-04 19:00:00,17,47,15,14.9,22.1,37,1.47,2.9,12.72,85,7.5,294,710.9,0,0
2024,"NTE2",2024-01-04 20:00:00,15,45,24,9.8,21.3,31.1,1.36,2.9,13.11,79,6.7,48,711,0,0
2024,"NTE2",2024-01-04 21:00:00,18,44,15,15.3,16.3,31.6,1.31,2.9,12.09,81,9,28,711.1,0,0
2024,"NTE2",2024-01-04 22:00:00,21,29,5,9.5,16,25.6,1.22,3,12.53,75,10.1,356,710.9,0,0
2024,"NTE2",2024-01-04 23:00:00,21,32,16,10.1,17.8,27.8,1.26,3,12.26,71,8.6,359,710.9,0,0
2024,"NTE2",2024-01-05,16,33,10,14.4,23.3,37.7,1.3,2.8,11.27,75,6.3,5,710.9,0,0
2024,"NTE2",2024-01-05 01:00:00,14,29,5,24.6,25.4,50,1.43,2.9,11.26,73,5.6,73,711.1,0,0
2024,"NTE2",2024-01-05 02:00:00,12,41,11,30.4,27.2,57.5,1.56,2.8,10.51,77,4.7,93,711.3,0,0.004
2024,"NTE2",2024-01-05 03:00:00,15,51,3,80.4,28.9,109.3,1.91,3.4,13.69,66,6.7,13,711.7,0,0.055
2024,"NTE2",2024-01-05 04:00:00,19,75,16,50.4,27.8,78.2,2.03,3.4,16.22,56,7.3,38,712.1,0,0.152
2024,"NTE2",2024-01-05 05:00:00,26,71,51,27,22.6,49.6,1.62,3.5,18.21,47,9.2,339,712,0,0.248
2024,"NTE2",2024-01-05 06:00:00,30,48,NA,27.7,22.9,50.6,1.67,3.4,19.44,44,7.8,53,711.6,0,0.319
2024,"NTE2",2024-01-05 07:00:00,38,55,NA,18.6,19.6,38.2,1.54,3.2,20.37,39,8.4,43,710.8,0,0.358
2024,"NTE2",2024-01-05 08:00:00,43,49,NA,13.2,17.4,30.6,1.38,3.1,21.89,33,6.7,42,710,0,0.364
2024,"NTE2",2024-01-05 09:00:00,46,48,2,14.1,19.8,33.9,1.37,3.1,22.77,32,7.5,66,709.5,0,0.328
2024,"NTE2",2024-01-05 10:00:00,51,54,3,5.3,13.4,18.7,1.3,3.1,22.52,30,8.4,93,709.4,0,0.259
2024,"NTE2",2024-01-05 11:00:00,49,46,3,5,20,25,1.26,3.1,22.73,30,7.4,105,709.4,0,0.16
2024,"NTE2",2024-01-05 12:00:00,48,54,11,3.9,26.1,30,1.38,3.1,20.93,35,8.1,106,709.7,0,0.045
2024,"NTE2",2024-01-05 13:00:00,32,75,5,5.5,32.2,37.7,1.44,3.5,18.72,40,8.4,92,710.1,0,0
2024,"NTE2",2024-01-05 14:00:00,25,55,NA,11.9,32.8,44.6,1.57,3.5,17.39,41,8.7,74,710.7,0,0
2024,"NTE2",2024-01-05 15:00:00,33,45,NA,4.1,25.7,29.9,1.38,2.7,16.9,39,8.4,96,711,0,0
2024,"NTE2",2024-01-05 16:00:00,24,33,NA,4,30.9,34.9,1.34,3.3,16.12,43,4,170,711.3,0,0
2024,"NTE2",2024-01-05 17:00:00,16,55,9,17.5,37.3,54.8,1.29,4.2,14.75,51,2,279,711.2,0,0
2024,"NTE2",2024-01-05 18:00:00,12,49,2,50,41.1,91,1.52,5.2,14.24,52,2.5,301,710.9,0,0
2024,"NTE2",2024-01-05 19:00:00,13,61,18,84.1,43,127.1,2.02,4,13.92,51,4.6,5,710.7,0,0
2024,"NTE2",2024-01-05 20:00:00,13,86,18,103.6,42.4,146.1,2.18,3.7,12.56,57,3.3,26,710.5,0,0
2024,"NTE2",2024-01-05 21:00:00,13,122,30,135.9,42.8,178.8,2.28,4.3,11.96,60,4.9,21,710.4,0,0
2024,"NTE2",2024-01-05 22:00:00,12,148,30,91,38.8,129.9,2.04,4,11.44,61,2.7,332,710.5,0,0
2024,"NTE2",2024-01-05 23:00:00,12,100,22,70.4,34.8,105.2,1.83,3.7,11.19,63,3,244,710.5,0,0
2024,"NTE2",2024-01-06,12,136,28,112.2,36.3,148.6,1.84,4.3,11.14,64,3.5,270,710.1,0,0
2024,"NTE2",2024-01-06 01:00:00,12,142,35,167.1,37.5,204.7,2.31,4.5,10.73,66,3.3,1,710.8,0,0
2024,"NTE2",2024-01-06 02:00:00,12,145,23,113.7,33.3,147.1,2.27,4.2,10.85,66,4.5,241,711.3,0,0.008
2024,"NTE2",2024-01-06 03:00:00,13,128,18,94,35,129.1,2.43,4.7,13.66,58,6,252,712,0,0.075
2024,"NTE2",2024-01-06 04:00:00,17,133,32,71.5,39.6,111,2.35,6.4,16.46,47,6.8,316,712.7,0,0.16
2024,"NTE2",2024-01-06 05:00:00,20,125,31,64.4,39.5,103.9,2.12,6.3,17.72,43,8.9,11,712.8,0,0.247
2024,"NTE2",2024-01-06 06:00:00,31,112,28,33.5,31.2,64.7,1.8,6,19.67,37,7.3,20,712.3,0,0.319
2024,"NTE2",2024-01-06 07:00:00,42,70,24,14.7,25,39.7,1.6,5.6,20.69,36,7.3,65,711.4,0,0.35
2024,"NTE2",2024-01-06 08:00:00,46,57,27,14.8,27.1,41.9,1.54,5.3,20.86,37,8.3,54,710.7,0,0.337
2024,"NTE2",2024-01-06 09:00:00,47,59,24,14.6,28.7,43.3,1.48,6,21.63,34,7.5,42,710.5,0,0.276
2024,"NTE2",2024-01-06 10:00:00,45,55,27,15.4,31.3,46.7,1.55,7.8,21.56,35,7.6,38,710.6,0,0.195
2024,"NTE2",2024-01-06 11:00:00,50,56,17,10.9,29.9,40.8,1.51,15.6,21.7,36,6,62,711.1,0,0.124
2024,"NTE2",2024-01-06 12:00:00,48,60,30,4.9,33.7,38.6,1.46,18.9,20.02,40,5.7,65,711.9,0,0.036
2024,"NTE2",2024-01-06 13:00:00,34,62,23,5.5,41.8,47.3,1.5,18,18.8,45,4.1,74,712.7,0,0
2024,"NTE2",2024-01-06 14:00:00,14,69,23,57.2,56.6,113.7,2.13,13.6,18.19,49,4.9,18,713.5,0,0
2024,"NTE2",2024-01-06 15:00:00,13,119,33,89.8,52.4,142.3,2.86,8.2,17.81,51,6.2,11,714.4,0,0
2024,"NTE2",2024-01-06 16:00:00,12,141,33,63.3,46.6,109.9,2.7,5.5,17.29,50,4.3,12,715,0,0
2024,"NTE2",2024-01-06 17:00:00,13,103,28,70.9,45.7,116.7,2.34,4.8,16.57,51,3.9,42,715.1,0,0
2024,"NTE2",2024-01-06 18:00:00,12,112,32,33.6,42.3,75.8,2.19,4.4,15.99,52,1.9,158,715,0,0
2024,"NTE2",2024-01-06 19:00:00,12,75,13,66.8,41.1,107.9,2.2,4.2,15.63,54,3.1,23,715,0,0
2024,"NTE2",2024-01-06 20:00:00,12,84,23,54.3,41.7,95.9,2.22,3.9,15.33,55,4,49,715,0,0
2024,"NTE2",2024-01-06 21:00:00,NA,86,30,52.6,39.2,91.8,2.48,4.3,14.71,58,2.6,28,714.8,0,0
2024,"NTE2",2024-01-06 22:00:00,NA,93,24,29.6,39.8,69.4,1.89,6.6,14.53,58,2.1,27,714.6,0,0
2024,"NTE2",2024-01-06 23:00:00,NA,59,20,47.7,39.4,87.1,1.84,5.9,13.98,60,5.4,25,714.7,0,0
2024,"NTE2",2024-01-07,NA,66,16,26.2,36.7,62.8,1.56,6.1,13.94,58,6.6,19,714.9,0,0
2024,"NTE2",2024-01-07 01:00:00,NA,49,13,43.8,36.5,80.3,1.62,6.5,13.75,59,5.8,22,715,0,0
2024,"NTE2",2024-01-07 02:00:00,13,50,14,36.4,35.9,72.3,1.67,10.3,13.48,63,7.2,14,715.1,0,0.002
2024,"NTE2",2024-01-07 03:00:00,16,42,6,36.4,33.6,70.1,1.62,6.7,13.67,67,7.8,24,715.3,0,0.025
2024,"NTE2",2024-01-07 04:00:00,21,44,8,27.8,29.4,57.2,1.58,6.4,14.09,66,9,35,715.6,0,0.088
2024,"NTE2",2024-01-07 05:00:00,22,47,17,23.9,26.8,50.7,1.51,7.1,14.29,70,8.6,34,715.5,0,0.084
2024,"NTE2",2024-01-07 06:00:00,24,51,20,20,25.1,45.1,1.57,5.9,14.43,75,8.7,40,714.6,0,0.077
2024,"NTE2",2024-01-07 07:00:00,24,43,16,16.5,22,38.5,1.46,9.1,14.79,75,10.8,46,713.4,0,0.059
2024,"NTE2",2024-01-07 08:00:00,24,48,16,14.4,21,35.4,1.43,5.5,14.84,78,9.6,59,712.4,0,0.023
2024,"NTE2",2024-01-07 09:00:00,17,38,20,35,29.1,64.2,1.64,5.9,15.41,77,8.7,37,711.4,0,0.033
2024,"NTE2",2024-01-07 10:00:00,16,52,17,34.2,32.3,66.5,1.96,5.8,16.08,75,8.6,43,710.7,0,0.025
2024,"NTE2",2024-01-07 11:00:00,13,57,21,57.3,37.5,94.8,2.12,5.1,16.45,73,9,32,710.5,0,0.015
2024,"NTE2",2024-01-07 12:00:00,19,81,23,24,33.1,57.1,2.09,4.2,17.16,70,8.6,57,710.2,0,0.004
2024,"NTE2",2024-01-07 13:00:00,30,61,8,6.4,22.8,29.3,1.58,3.7,17.67,70,10.4,86,709.8,0,0
2024,"NTE2",2024-01-07 14:00:00,35,42,13,4.5,17.5,22,1.48,3.6,17.46,71,12.9,93,709.3,0,0
2024,"NTE2",2024-01-07 15:00:00,34,52,6,4.8,15.2,20,1.42,3.3,17.2,72,11.7,98,709,0,0
2024,"NTE2",2024-01-07 16:00:00,32,33,7,4,14.9,18.9,1.33,3.1,16.75,75,9.9,99,708.7,0,0
2024,"NTE2",2024-01-07 17:00:00,29,27,8,5,17.1,22,1.39,3,16.57,76,6.5,77,708.4,0,0
2024,"NTE2",2024-01-07 18:00:00,28,22,9,4.5,17,21.5,1.42,3,16.25,77,5.6,98,707.6,0,0
2024,"NTE2",2024-01-07 19:00:00,17,26,NA,8,24.3,32.3,1.44,2.9,15.63,79,3,293,706.6,0,0
2024,"NTE2",2024-01-07 20:00:00,15,31,NA,16.4,26.6,43,1.44,2.9,15.63,80,4.1,355,705.6,0,0
2024,"NTE2",2024-01-07 21:00:00,15,39,NA,11.5,24.3,35.8,1.41,2.9,15.38,80,3.8,307,704.9,0,0
2024,"NTE2",2024-01-07 22:00:00,14,35,NA,11.4,24.3,35.7,1.5,2.8,14.64,81,4.1,297,704.4,0,0
2024,"NTE2",2024-01-07 23:00:00,12,33,NA,19.1,26,45.1,1.49,2.8,14.2,82,5,253,704.1,0,0
2024,"NTE2",2024-01-08,12,43,2,33.4,25.8,59.2,1.57,2.9,13.86,83,3.3,270,704,0,0
2024,"NTE2",2024-01-08 01:00:00,12,45,4,44.1,24.8,69,1.64,2.9,13.34,84,3.3,223,704,0,0
2024,"NTE2",2024-01-08 02:00:00,12,44,9,100.3,27.6,128,1.94,3.4,12.99,85,4.7,214,704,0,0.004
2024,"NTE2",2024-01-08 03:00:00,13,85,27,127,33,160.2,2.52,4,15.71,81,3.6,268,704.4,0,0.057
2024,"NTE2",2024-01-08 04:00:00,14,120,19,103.2,41.5,144.8,2.54,6.6,19.31,68,4.6,225,704.8,0,0.154
2024,"NTE2",2024-01-08 05:00:00,15,117,41,142.4,55.5,197.9,2.64,15.6,22.58,55,5.5,329,704.5,0,0.245
2024,"NTE2",2024-01-08 06:00:00,22,173,50,73.7,63.3,137,2.84,8.6,24.4,47,7.5,35,703.8,0,0.322
2024,"NTE2",2024-01-08 07:00:00,34,147,46,41.8,59.9,101.6,2.48,6.3,25.91,41,9,43,702.8,0,0.362
2024,"NTE2",2024-01-08 08:00:00,44,158,18,15.4,33.4,48.8,1.87,4.9,28.08,30,9.5,88,701.7,0,0.37
2024,"NTE2",2024-01-08 09:00:00,47,97,11,16.5,31.6,48.1,1.72,5.7,29.73,23,9.9,60,701,0,0.334
2024,"NTE2",2024-01-08 10:00:00,46,79,24,15.6,33.7,49.3,1.61,9.6,29.78,25,9.1,68,700.9,0,0.215
2024,"NTE2",2024-01-08 11:00:00,48,70,18,8.2,29.5,37.8,1.54,7.6,30.22,23,8.5,96,700.8,0,0.16
2024,"NTE2",2024-01-08 12:00:00,27,67,22,26.6,49.1,75.6,1.61,8.4,29.12,21,5,63,701.3,0,0.053
2024,"NTE2",2024-01-08 13:00:00,28,71,24,28,25.3,53.3,1.87,4.6,21.74,36,24.1,4,703.3,0,0
2024,"NTE2",2024-01-08 14:00:00,34,390,2,14.4,15.7,30.1,1.42,3.1,17.9,35,22,359,705.4,0,0
2024,"NTE2",2024-01-08 15:00:00,31,233,NA,16.4,19.7,36.1,1.32,3.2,16.53,31,16.4,NA,706.9,0,0
2024,"NTE2",2024-01-08 16:00:00,33,185,NA,15.3,17.5,32.7,1.24,3.3,15.58,28,17,13,708.6,0,0
2024,"NTE2",2024-01-08 17:00:00,33,178,NA,13.2,18.4,31.6,1.26,3.3,14.8,26,14.4,15,710.1,0,0
2024,"NTE2",2024-01-08 18:00:00,34,87,NA,11.2,16.2,27.3,1.19,3.3,13.85,27,14.3,11,711.3,0,0
2024,"NTE2",2024-01-08 19:00:00,31,70,9,11.7,18.9,30.6,1.18,3.8,13.53,28,10.2,7,711.9,0,0
2024,"NTE2",2024-01-08 20:00:00,16,81,4,16.1,33.5,49.5,1.29,5.1,13.02,30,4.4,294,712.3,0,0
2024,"NTE2",2024-01-08 21:00:00,12,78,3,24.3,36.1,60.3,1.32,4.2,11.84,31,3.2,3,712.2,0,0
2024,"NTE2",2024-01-08 22:00:00,28,88,5,4.5,19.1,23.6,1.19,2.8,11.58,22,4.3,53,712.1,0,0
2024,"NTE2",2024-01-08 23:00:00,29,113,4,11.9,20.4,32.3,1.18,3.9,12.92,21,8,327,712.3,0,0
2024,"NTE2",2024-01-09,22,118,14,9.2,28.5,37.6,1.27,2.8,12.11,21,5.7,97,712.9,0,0
2024,"NTE2",2024-01-09 01:00:00,14,126,12,19.4,36.9,56.3,1.42,3,11.54,21,5.3,134,713.7,0,0
2024,"NTE2",2024-01-09 02:00:00,13,143,18,38.8,36.3,75,1.62,3.5,11.21,30,6.1,155,714.4,0,0.003
2024,"NTE2",2024-01-09 03:00:00,15,157,13,44.8,33.9,78.7,1.65,4,11.96,32,5.8,133,715.2,0,0.055
2024,"NTE2",2024-01-09 04:00:00,24,165,15,21.2,27,48.2,1.58,3.7,13.82,23,6.2,120,715.9,0,0.139
2024,"NTE2",2024-01-09 05:00:00,27,152,17,26,27,52.9,1.46,3.6,16.08,20,5.6,79,715.8,0,0.25
2024,"NTE2",2024-01-09 06:00:00,31,129,30,22.1,25.5,47.6,1.47,3.5,17.04,18,6.8,86,715.2,0,0.319
2024,"NTE2",2024-01-09 07:00:00,37,127,31,16.1,21.5,37.7,1.38,3.6,17.44,18,7.2,72,714.2,0,0.344
